สังกัด
มดงาน
ประชาธิปัตย์
ไทยรักไทย
พลังไทย
ประชากรไทย
พัฒนาบางขุนเทียน
มวลชน
บ้านมิตรภาพ
ชาติไทย
ชาติพัฒนา
อิสระ
คนบางซื่อ
พัฒนาหนองแขม
เพื่อไทย
